reference,specificité,karazany,stock_initial,prix_vente_ttc
P_01,capacité,128GB,26,"231,08"
P_01,capacité,32GB,19,"208,96"
P_01,capacité,64GB,29,"197,31"
P_02,taille,S,35,"245,09"
P_02,taille,M,50,"246,02"
P_03,couleur,Noir,9,"321,06"
P_03,couleur,Rouge,18,"286,97"
P_03,couleur,Blanc,24,"328,39"
P_04,taille,M,13,"222,18"
P_04,taille,XL,45,"239,97"
P_04,taille,L,28,"250,31"
P_04,taille,S,37,"242,81"
P_05,,,34,
P_06,taille,L,18,"74,86"
P_06,taille,XL,47,"80,26"
P_06,taille,S,11,"82,47"
P_07,,,21,
P_08,,,50,
P_09,modèle,Max,34,"186,98"
P_09,modèle,Standard,23,"221,24"
P_10,capacité,128GB,50,"69,73"
P_10,capacité,64GB,22,"62,07"
P_11,taille,S,5,"51,15"
P_11,taille,L,42,"48,85"
P_11,taille,XL,41,"56,87"
P_12,modèle,Standard,38,"184,1"
P_12,modèle,Max,46,"168,55"
P_12,modèle,Pro,10,"186,31"
P_13,couleur,Noir,50,"219,14"
P_13,couleur,Rouge,17,"202,36"
P_13,couleur,Bleu,23,"198,3"
P_13,couleur,Blanc,34,"203,26"
P_14,,,30,
P_15,modèle,Pro,37,"169,61"
P_15,modèle,Standard,8,"178,09"
P_16,couleur,Noir,19,"175,39"
P_16,couleur,Rouge,41,"164,8"
P_16,couleur,Blanc,20,"170,91"
P_16,couleur,Bleu,29,"166,56"
P_17,,,49,
P_18,,,41,
P_19,,,30,
P_20,capacité,128GB,13,"139,28"
P_20,capacité,64GB,47,"155,78"
P_20,capacité,32GB,6,"135,57"
P_21,taille,M,46,"292,09"
P_21,taille,XL,50,"300,3"
P_21,taille,L,25,"303,38"
P_21,taille,S,16,"317,09"
P_22,taille,L,33,"226,33"
P_22,taille,M,15,"248,56"
P_22,taille,XL,37,"236,42"
P_23,,,40,
P_24,taille,S,33,"169,6"
P_24,taille,XL,10,"163,68"
P_24,taille,L,17,"157,36"
P_24,taille,M,35,"174,91"
P_25,capacité,64GB,9,"23,24"
P_25,capacité,128GB,40,"25,82"
P_25,capacité,32GB,27,"23,4"
P_26,taille,XL,47,"305,41"
P_26,taille,M,28,"305,65"
P_27,,,47,
P_28,,,47,
P_29,,,140,
P_30,,,36,
